repo_name,repoType,sizeUsers,status,lifeSpan,authors,commits,pulls,issues,comments,reviews,language
taylornetwork/name-formatter,Organization,1,Dead,27,1,20,2,0,0,0,Laravel
teamtnt/laravel-scout-tntsearch-driver,Organization,3,Alive,61,641,262,87,243,994,4,Laravel
tequilarapido/api-response,Organization,1,Alive,58,2,50,14,0,2,0,Laravel
unicodeveloper/laravel-identify,User,2,Dead,56,18,70,20,7,39,2,Laravel
yokesharun/ping-on-terminal,User,1,Dead,12,1,15,1,0,0,0,Laravel
75lb/fs-then-native,User,2,Dead,8,2,19,1,0,1,0,NPM
aaron9000/csvutil,User,1,Dead,8,1,51,2,5,0,0,NPM
ahtohbi4/matrix-slicer,User,2,Dead,44,3,148,2,0,5,0,NPM
alissonmbr/dirtree2json,User,1,Dead,31,1,22,0,1,0,0,NPM
amandeepmittal/robotize,User,2,Dead,44,4,7,1,2,26,0,NPM
amitnavindgi/npm-amitnavindgi,User,1,Dead,2,1,6,0,0,0,0,NPM
andwoo/jsonmake,User,1,Dead,1,1,11,0,0,0,0,NPM
angrykoala/chuckscript,User,2,Dead,22,4,22,0,17,6,0,NPM
ankeetmaini/react-infinite-scroll-component,User,3,Alive,67,938,214,116,185,787,41,NPM
apache/incubator-flagon-useralejs,Organization,3,Alive,64,14,390,126,47,254,31,NPM
appvision-gmbh/json2typescript,Organization,3,Alive,59,165,195,39,130,642,31,NPM
arnellebalane/devcomic,User,1,Dead,33,1,73,2,4,2,0,NPM
arnellebalane/wifi-cli,User,2,Dead,20,3,48,2,1,3,1,NPM
aurbano/resource-path,User,1,Dead,2,1,26,0,0,0,0,NPM
av/dtg,User,1,Dead,0,1,5,0,0,0,0,NPM
badavis/strict-password-generator,User,3,Alive,57,8,26,10,3,6,1,NPM
barchart/alerts-client-js,Organization,3,Alive,68,6,1038,13,1,15,0,NPM
barchart/common-node-js,Organization,3,Alive,69,8,1952,3,1,1,0,NPM
bdadam/rollup-plugin-html,User,3,Dead,51,13,29,2,6,12,0,NPM
beeblebrox3/super-trim,User,2,Alive,58,2,13,17,0,12,1,NPM
bertolo1988/progress-barzz,User,2,Alive,55,2,26,2,0,0,0,NPM
bjaanes/gulp-clean-compiled-typescript,User,2,Dead,7,3,16,1,1,2,0,NPM
bkrem/make-toc.sh,User,1,Dead,4,1,118,0,10,2,0,NPM
blizarazu/csv-tools,User,2,Alive,59,2,39,6,0,1,0,NPM
breeswish/pinyinlite,User,3,Dead,37,21,22,0,9,27,0,NPM
canonical-web-and-design/global-nav,Organization,3,Alive,62,43,353,149,38,304,198,NPM
centagon/primer,Organization,2,Dead,12,4,181,13,1,3,5,NPM
cezaraugusto/nodejs-opensourceapi,User,1,Dead,0,1,2,0,0,0,0,NPM
codebling/csrf-simple-origin,User,2,Alive,53,2,42,2,0,0,0,NPM
corasan/leagueoflegends-node-api,User,2,Dead,16,2,89,0,1,3,0,NPM
cpapazaf/karma-prettybrowser-reporter,User,2,Dead,32,4,21,2,0,0,0,NPM
csabapalfi/freeagent,User,2,Dead,42,4,5,2,1,5,0,NPM
csabapalfi/github-markdown-html,User,2,Dead,42,4,59,16,1,76,0,NPM
csabapalfi/hapi-good-datadog,User,2,Dead,17,3,7,2,1,10,0,NPM
csabapalfi/html-webpack-uncss-plugin,User,2,Dead,20,3,18,5,2,18,0,NPM
cyrilwanner/npm-autoinstaller,User,2,Dead,36,5,59,19,13,46,1,NPM
darlanrod/input-range-scss,User,3,Zombie,68,23,45,11,9,33,0,NPM
davidpelayo/camel-case-object-keys,User,1,Dead,11,1,3,0,0,0,0,NPM
ddycai/chord-transposer,User,3,Alive,60,18,77,7,13,24,4,NPM
diegocosta/getvw,User,1,Dead,5,1,6,0,0,0,0,NPM
dmxt/beginner-windows-npm-gulp-webdev-tutorial,User,2,Dead,34,2,66,5,0,0,0,NPM
dvoiss/android-versions,User,3,Alive,62,14,51,18,8,23,1,NPM
